
INFO:root:episode:30  step:1 Cost:29.41331950103216 min Cost:23.485760722313383 Reward:0 global reward:300 Action:[2, 3]
INFO:root:episode:30  step:2 Cost:44.158490547311615 min Cost:43.987983118935105 Reward:0 global reward:300 Action:[0, 0]
INFO:root:episode:30  step:3 Cost:51.50665910322437 min Cost:55.86070862398326 Reward:0 global reward:300 Action:[1, 4]
INFO:root:episode:30  step:4 Cost:51.50665910322437 min Cost:44.6372979826414 Reward:0 global reward:300 Action:[1, 5]
INFO:root:episode:30  step:5 Cost:40.10428662468156 min Cost:44.57237792381567 Reward:0 global reward:300 Action:[3, 2]
INFO:root:episode:30  step:6 Cost:31.742414120691198 min Cost:37.607319174655764 Reward:400 global reward:400 Action:[0, 1]
INFO:root:episode:31  step:1 Cost:29.41331950103216 min Cost:23.485760722313383 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:31  step:2 Cost:44.179642974745796 min Cost:43.987983118935105 Reward:0 global reward:400 Action:[0, 0]
INFO:root:episode:31  step:3 Cost:55.65830750395835 min Cost:55.86070862398326 Reward:0 global reward:400 Action:[1, 5]
INFO:root:episode:31  step:4 Cost:44.2424141206912 min Cost:44.6372979826414 Reward:0 global reward:400 Action:[3, 2]
INFO:root:episode:31  step:5 Cost:44.2424141206912 min Cost:44.57237792381567 Reward:0 global reward:400 Action:[3, 1]
INFO:root:episode:31  step:6 Cost:40.07574745402453 min Cost:31.742414120691198 Reward:-83.33333333333331 global reward:400 Action:[1, 4]
INFO:root:episode:32  step:1 Cost:26.61660316438381 min Cost:23.485760722313383 Reward:0 global reward:400 Action:[2, 3]
INFO:root:episode:32  step:2 Cost:42.21477123749381 min Cost:43.987983118935105 Reward:0 global reward:400 Action:[0, 0]
